x        Q2      f(x,Q2) 
0.005000 60.000000 1.271640 
0.006000 60.000000 1.111021 
0.007000 60.000000 0.985698 
0.008000 60.000000 0.884533 
0.009000 60.000000 0.800761 
0.010000 60.000000 0.730004 
0.020000 60.000000 0.353947 
0.030000 60.000000 0.197418 
0.040000 60.000000 0.110943 
0.050000 60.000000 0.056729 
0.060000 60.000000 0.020268 
0.070000 60.000000 -0.005318 
0.080000 60.000000 -0.023750 
0.090000 60.000000 -0.037231 
0.100000 60.000000 -0.047153 
0.200000 60.000000 -0.067146 
0.300000 60.000000 -0.050178 
0.400000 60.000000 -0.031676 
0.500000 60.000000 -0.017233 
0.600000 60.000000 -0.007455 
0.700000 60.000000 -0.001787 
0.800000 60.000000 0.000573 
0.900000 60.000000 0.000419 
0.999900 60.000000 -0.001533 
0.000010 70.000000 24.160437 
0.000020 70.000000 18.743996 
0.000030 70.000000 16.082857 
0.000040 70.000000 14.393299 
0.000050 70.000000 13.186666 
0.000060 70.000000 12.263792 
0.000070 70.000000 11.525405 
0.000080 70.000000 10.915437 
0.000090 70.000000 10.399378 
0.000100 70.000000 9.954608 
0.000200 70.000000 7.392309 
0.000300 70.000000 6.154237 
0.000400 70.000000 5.377698 
0.000500 70.000000 4.828599 
0.000600 70.000000 4.412199 
0.000700 70.000000 4.081548 
0.000800 70.000000 3.810263 
0.000900 70.000000 3.582176 
0.001000 70.000000 3.386735 
0.002000 70.000000 2.285790 
0.003000 70.000000 1.773748 
0.004000 70.000000 1.461729 
0.005000 70.000000 1.246387 
0.006000 70.000000 1.086538 
0.007000 70.000000 0.962038 
0.008000 70.000000 0.861696 
0.009000 70.000000 0.778725 
0.010000 70.000000 0.708737 
0.020000 70.000000 0.338597 
0.030000 70.000000 0.185857 
0.040000 70.000000 0.102051 
0.050000 70.000000 0.049838 
0.060000 70.000000 0.014937 
0.070000 70.000000 -0.009399 
0.080000 70.000000 -0.026812 
0.090000 70.000000 -0.039449 
0.100000 70.000000 -0.048667 
0.200000 70.000000 -0.065510 
0.300000 70.000000 -0.048151 
0.400000 70.000000 -0.030020 
0.500000 70.000000 -0.016129 
0.600000 70.000000 -0.006864 
0.700000 70.000000 -0.001578 
0.800000 70.000000 0.000568 
0.900000 70.000000 0.000380 
0.999900 70.000000 -0.001429 
0.000010 80.000000 24.564844 
0.000020 80.000000 19.012685 
0.000030 80.000000 16.289049 
0.000040 80.000000 14.561629 
0.000050 80.000000 13.328969 
0.000060 80.000000 12.386834 
0.000070 80.000000 11.633479 
0.000080 80.000000 11.011468 
0.000090 80.000000 10.485466 
0.000100 80.000000 10.032316 
0.000200 80.000000 7.425761 
0.000300 80.000000 6.169304 
0.000400 80.000000 5.382501 
0.000500 80.000000 4.826839 
0.000600 80.000000 4.405897 
0.000700 80.000000 4.071936 
0.000800 80.000000 3.798147 
0.000900 80.000000 3.568118 
0.001000 80.000000 3.371139 
0.002000 80.000000 2.264127 
0.003000 80.000000 1.751196 
0.004000 80.000000 1.439456 
0.005000 80.000000 1.224752 
0.006000 80.000000 1.065656 
0.007000 80.000000 0.941930 
0.008000 80.000000 0.842346 
0.009000 80.000000 0.760103 
0.010000 80.000000 0.690806 
0.020000 80.000000 0.325850 
0.030000 80.000000 0.176346 
0.040000 80.000000 0.094792 
0.050000 80.000000 0.044252 
0.060000 80.000000 0.010650 
0.070000 80.000000 -0.012650 
0.080000 80.000000 -0.029220 
0.090000 80.000000 -0.041162 
0.100000 80.000000 -0.049801 
0.200000 80.000000 -0.064100 
0.300000 80.000000 -0.046470 
